time, state, vote_mechanism, vote_name, short_id
2021-07-29 17:46:33.728, ["0"; "0"; "0"; "1"; "0"], Modified Borda Count, Vote 16, 61287
2021-07-29 17:46:50.333, ["1"; "0"; "0"; "2"; "0"], Modified Borda Count, Vote 16, 61287
2021-07-29 17:46:52.999, ["2"; "0"; "1"; "3"; "0"], Modified Borda Count, Vote 16, 61287
2021-07-29 17:46:54.402, ["3"; "1"; "2"; "4"; "0"], Modified Borda Count, Vote 16, 61287
2021-07-29 17:46:55.929, ["4"; "2"; "3"; "5"; "1"], Modified Borda Count, Vote 16, 61287
2021-07-28 17:14:27.967, ["4"], Majority Voting, Vote 01, 61622
2021-07-28 17:14:28.579, ["0"], Majority Voting, Vote 01, 61622
2021-07-28 17:14:29.606, ["4"], Majority Voting, Vote 01, 61622
2021-07-28 17:15:05.096, ["0"; "0"; "0"; "1"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:05.590, ["0"; "0"; "0"; "0"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:05.932, ["0"; "0"; "0"; "-1"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:06.283, ["0"; "0"; "0"; "0"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:06.734, ["0"; "0"; "0"; "1"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:07.058, ["0"; "0"; "0"; "0"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:08.402, ["0"; "1"; "0"; "0"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:08.726, ["0"; "0"; "0"; "0"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:15.881, ["0"; "0"; "0"; "1"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:18.781, ["0"; "1"; "0"; "1"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:19.460, ["0"; "1"; "1"; "1"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:19.928, ["1"; "1"; "1"; "1"; "0"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:20.773, ["1"; "1"; "1"; "1"; "1"], Combined Approval, Vote 02, 61622
2021-07-28 17:15:36.500, ["0"; "1"; "0"; "0"; "0"], Score Voting, Vote 03, 61622
2021-07-28 17:15:36.638, ["0"; "2"; "0"; "0"; "0"], Score Voting, Vote 03, 61622
2021-07-28 17:15:36.788, ["0"; "3"; "0"; "0"; "0"], Score Voting, Vote 03, 61622
2021-07-28 17:15:37.562, ["0"; "4"; "0"; "0"; "0"], Score Voting, Vote 03, 61622
2021-07-28 17:15:38.079, ["0"; "4"; "0"; "0"; "1"], Score Voting, Vote 03, 61622
